"id","PatentClaim","patent_id","text","claim","dependency","sequence","level","gold","expected_claimType"
"951","4055843-0001","4055843","selector means adapted for receiving as selector input said sets of time slot signals, said selector means adapted for receiving as data input said data signals, said selector means being adapted for associating each of said data signals with a respective time slot, said selector means adapted for selecting and causing to be delivered to said audio output means a particular one of said audio signals during those of said time slots for which said respective data signals are high and for selecting and causing to be delivered to said audio output means the other of said audio signals during those of said time slots for which said respective data signals are low.","1","1","7","2","2",2
"1213","4094428-0001","4094428","1. a machine for loading and disintegrating large ground-lying, cylindrical bales of crop material, said machine including:","1","0","1","1","2",2
"1214","4094428-0001","4094428","a frame;","1","1","2","2","2",2
"1215","4094428-0001","4094428","a disintegrator supported on said frame;","1","1","3","2","2",2
"1216","4094428-0001","4094428","a normally horizontal feeding bed on the frame swingable to and from said disintegrator; and","1","1","4","2","2",2
"1217","4094428-0001","4094428","loading structure pivotally mounted on said frame for vertical swinging movement between the ground and said bed,","1","1","5","2","2",2
"1218","4094428-0001","4094428","said structure being adapted to engage said ground-lying, cylindrical bale and stand the latter on end upon said bed whereupon the bales are forcibly fed end-first into said disintegrator by swinging movement of the bed toward the disintegrator,","1","1","6","2","2",2
"1219","4094428-0001","4094428","said bed having a substantially flat support surface and being pivotally secured along one edge to said frame adjacent said disintegrator,","1","1","7","2","2",2
"1220","4094428-0001","4094428","said support surface being disposed below said disintegrator when said bed is in its horizontal position,","1","1","8","2","2",2
"1221","4094428-0001","4094428","said bed including support means opposite said one edge and extending above said support surface for retaining said bales on said bed during swinging movement to said disintegrator.","1","1","9","2","2",2
"1379","4118523-0001","4118523","1. a method of electrically interconnecting conductors formed by first and second metal layers respectively on opposing faces of a polyimide substrate by a third electrically conductive layer within a bore extending through the substrate at a desired position, including the steps of:","1","0","1","1","1",1
"1380","4118523-0001","4118523","(a) forming a hole in the first and second layers to expose underlying areas of the substrate, the holes in the said layers corresponding and being positioned opposite to one another at said desired position of the bore;","1","1","2","2","1",1
"1381","4118523-0001","4118523","(b) applying simultaneously to both faces an etchant to act upon the said underlying areas of substrate to etch out the desired bore, the position of which is defined by the masking action of the remaining part of the first and second layers, but the effect of the etchant being such as to remove more substrate material adjacent to said layers than in the central part of the bore so as to produce an overhanging region of each such layer around the bore;","1","1","3","2","1",1
"1382","4118523-0001","4118523","(c) then etching away further portions of the first and second layers to an extent sufficient to remove all of said overhanging regions and to expose the faces of the substrate immediately adjacent to the ends of the bore;","1","1","4","2","1",1
"1383","4118523-0001","4118523","(d) and thereafter depositing the third conductive metal layer in the bore to form an electrically conductive connection between the first and second layers.","1","1","5","2","1",1
"1476","4133092-0001","4133092","1. a method for making radial lip shaft seals having a generally cylindrical reinforcing outer case to which has been bonded an elastomeric body that includes a flexible seal lip portion comprising the steps of, selecting a rigid strip of indeterminate length, feeding said strip continuously through a series of punch press forming operations in a progressive type die to perform the steps of: scoring the strip rearwards of the body edge to establish the width of a rectangular case blank at a first station, the first advance of said case blank to a second die station and trim step establishing the length of said rectangular case blank, a second advance of said rectangular case blank to a third die station where the first form operation starts the bending of said case blank along its major axis with some separation of said score at both edges,","1","0","1","1","1",1
"1477","4133092-0001","4133092","advancing said case blank to a fourth die station with the second form operation increasing the bend of the previous operation forming a ""u"" and greatly increasing the separation along the score from the edges toward the middle,","1","1","2","2","1",1
"1478","4133092-0001","4133092","advancing said case blank to a fifth die station with the third forming operation closing the ""u"" of the previous operation and forming the generally cylindrical shape of a finished reinforcing outer case,","1","1","3","2","1",1
"1479","4133092-0001","4133092","placing said finished case in the heated cavity of a mold in a molding press with a quantity of uncured elastomer and bonding said elastomer to said finished case forming said elastomeric body and said flexible lip seal portion.","1","1","4","2","1",1
"1655","4150967-0001","4150967","1. a method of regulating the growth of plants, which comprises applying to the plants, or to a habitat thereof, a quaternary imidazolium compound of the general formula ##str11## in which r represents hydrogen or unbranched alkyl with","1","0","1","1","1",1
"1656","4150967-0001","4150967","1to 3 carbon atoms,","1","1","2","2","1",1
"1657","4150967-0001","4150967","r.sup.1 represents alkyl with 8 to 16 carbon atoms,","1","1","3","2","1",1
"1658","4150967-0001","4150967","r.sup.2 represents hydrogen, alkyl with 1 to 12 carbon atoms or optionally substituted benzyl, where the substituent is halogen,","1","1","4","2","1",1
"1659","4150967-0001","4150967","r.sup.3 represents hydrogen or methyl,","1","1","5","2","1",1
"1660","4150967-0001","4150967","r.sup.4 represents hydrogen or methyl, and","1","1","6","2","1",1
"1661","4150967-0001","4150967","a.sup..crclbar. represents an equivalent of a halide or alkyl sulphate anion, alone or in admixture with a diluent or carrier.","1","1","7","2","1",1
"1971","4194193-0001","4194193","1. a self-contained alarm device, adapted to provide an audible signal upon the opening of a door, comprising:","1","0","1","1","2",2
"1972","4194193-0001","4194193","enclosure means comprising a mounting plate adapted to be secured to the door frame above said door,","1","1","2","2","2",2
"1973","4194193-0001","4194193","a dc power source, secured within said enclosure,","1","1","3","2","2",2
"1974","4194193-0001","4194193","an electrically powered sound signal source for said audible signal, adapted to be powered from said dc power source and connected thereto by means of an electrically conducting path,","1","1","4","2","2",2
"1975","4194193-0001","4194193","a switch in said conducting path adapted to interrupt current flow in said path with the door in a closed position,","1","1","5","2","2",2
"1976","4194193-0001","4194193","said switch comprising an electrically conductive planar element proximate to, and insulated from, the inner face of said enclosure at the basal surface thereof,","1","1","6","2","2",2
"1977","4194193-0001","4194193","coaxial orifices in said conductive element and said basal surface, with the orifice in the latter increased in size with respect to the orifice in the former,","1","1","7","2","2",2
"1978","4194193-0001","4194193","a cantilevered conductor depending from a fixed anchor within said enclosure and passing through said orifices in an alignment spaced from the peripheries thereof in an unloaded state, and","1","1","8","2","2",2
"1979","4194193-0001","4194193","actuator means for said switch responsive to movement of said door toward an open position, and comprising cam means affixed to said cantilevered conductor, further depending from said enclosure and adapted to be entrained by said door upon the movement thereof toward said cam into said open position,","1","1","9","2","2",2
"1980","4194193-0001","4194193","wherein one leg of said conductive path is terminated at said conductive element and one leg is terminated at said anchor, thereby allowing current flow in said path when said cam means is entrained by the door and said cantilevered conductor is deflected against the perimeter of said orifice in said conductive element.","1","1","10","2","2",2
"2270","4233402-0026","4233402","26. a method for determining the presence of a ligand in a sample suspected of containing said ligand, said ligand being a member of a specific binding pair consisting of ligand and antiligand, wherein the amount of a detectable signal is a function of the amount of analyte in an assay medium, said detectable signal being produced by having three primary reagents:","26","0","39","1","1",1
"2271","4233402-0026","4233402","(a) reactant label conjugate consisting of first enzyme conjugated to a member of said specific binding pair, wherein said enzyme reacts with a signal mediator precursor to produce a signal mediator;","26","39","40","2","1",1
"2272","4233402-0026","4233402","(b) signal producing label conjugate, which consists of a second enzyme, which is a component of a detectable signal producing system, said second enzyme being conjugated to a member of said specific binding pair, wherein the amount of signal produced is affected by the localized concentration of said signal mediator; and","26","39","41","2","1",1
"2273","4233402-0026","4233402","(c) signal mediator precursor, which is an unconjugated compound which reacts with said first enzyme to produce, said signal mediator, which reacts with a product of said second enzyme or said second enzyme to produce said detectable signal;","26","39","42","2","1",1
"2274","4233402-0026","4233402","wherein the spatial proximity in said assay medium of said reactant label conjugate and said signal producing conjugate is affected by the concentration of ligand in said medium and the bringing together of said reactant label conjugate and said signal producing label conjugate by means of the binding together of said ligand or ligand analog and antiligand, brings said reactant label and said signal producing label into close spatial proximity in a microenvironment, so as to create a localized concentration of signal mediator differing from the concentration of signal mediator in the mass of said assay medium;","26","39","43","2","1",1
"2275","4233402-0026","4233402","said method comprising:","26","39","44","2","1",1
"2276","4233402-0026","4233402","combining in an aqueous assay medium:","26","39","45","2","1",1
"2277","4233402-0026","4233402","(a) said sample;","26","45","46","3","1",1
"2278","4233402-0026","4233402","(b) said reactant label conjugate;","26","45","47","3","1",1
"2279","4233402-0026","4233402","(c) said signal producing label conjugate;","26","45","48","3","1",1
"2280","4233402-0026","4233402","(d) said signal mediator precursor","26","45","49","3","1",1
"2281","4233402-0026","4233402","(e) any auxiliary reagents necessary for the reaction of said first and second enzymes;","26","45","50","3","1",1
"2282","4233402-0026","4233402","(f) poly(ligand analog), when said ligand is monoepitopic and monolabel-monoligand is employed as one of said conjugates; and","26","45","51","3","1",1
"2283","4233402-0026","4233402","determining the resulting detectable signal as compared to the detectable signal from an assay medium having a known amount of analyte.","26","39","52","2","1",1
"2323","4243969-0011","4243969","11. a layer resistor element for use in a variable resistor having a non-linear resistance characteristic, comprising","11","0","16","1","2",2
"2324","4243969-0011","4243969","(a) an insulating substrate,","11","16","17","2","2",2
"2325","4243969-0011","4243969","(b) two terminal electrodes provided at opposite ends of the substrate,","11","16","18","2","2",2
"2326","4243969-0011","4243969","(c) a first resistance layer disposed on the substrate in contact with said terminal electrodes, said first resistance layer having a shape differing from that of a rectangle,","11","16","19","2","2",2
"2327","4243969-0011","4243969","(d) two comb-like sets of separating slots cut into said first resistance layer alternatingly from opposite sides thereof so as to mesh with each other, the area of the slots being negligible relatively to the area of the first resistance layer, and the lengths and spacings of the slots of each set being defined in accordance with said non-linear characteristic, and","11","16","20","2","2",2
"2328","4243969-0011","4243969","(e) a second resistance layer disposed on the first resistance layer and having a greater resistivity than the first resistance layer, the second resistance layer extending beyond the first resistance layer at a side threof to form a slide way for a wiper of said variable resistor.","11","16","21","2","2",2
"2379","4248330-0001","4248330","1. in a vehicle having forward and reverse drive through a transmission including hydraulically actuated forward and reverse clutches, a transmission control system responsive to directional shifts of said hydraulically actuated forward and reverse clutches to provide a modulated pressure signal, and hydraulically release brakes, the combination comprising;","1","0","1","1","2",2
"2380","4248330-0001","4248330","a first source of pressurized hydraulic fluid;","1","1","2","2","2",2
"2381","4248330-0001","4248330","speed sensing means for generating a first pressure signal in response and proportional to the output from said transmission;","1","1","3","2","2",2
"2382","4248330-0001","4248330","means for applying said brakes;","1","1","4","2","2",2
"2383","4248330-0001","4248330","directional selector valve means communicating with said first source of pressurized hydraulic fluid and said transmission and shiftable to forward and reverse positions for respectively selectively directing pressurized hydraulic fluid from said first source of pressurized hydraulic fluid to either one of said forward or reverse clutches and to the means for applying said brakes and simultaneosly communicating said transmission control system modulated pressure signal to said means for applying said brakes;","1","1","5","2","2",2
"2384","4248330-0001","4248330","said means for applying said brakes comprising sequence valve means, dump valve means, and reducing valve means;","1","1","6","2","2",2
"2385","4248330-0001","4248330","said sequence valve means communicating with said directional selector valve means and responsive to said modulated pressure signal for controlling communication of pressurized hydraulic fluid to the dump valve means from the directional selector valve means;","1","1","7","2","2",2
"2386","4248330-0001","4248330","said dump valve means interposed between said sequence valve and said reducing valve means and responsive to said first pressure signal for controlling communication of pressurized hydraulic fluid from said sequence valve means to said reducing valve means; and","1","1","8","2","2",2
"2387","4248330-0001","4248330","said reducing valve means variably responsive to pressurized hydraulic fluid received from said dump valve means for communicating variable hydraulic fluid pressure from said first source of pressurized hydraulic fluid to said brakes for controlling the release of said brakes.","1","1","9","2","2",2
"2684","4289342-0001","4289342","1. a motor vehicle door lock comprising:","1","0","1","1","2",2
"2685","4289342-0001","4289342","(a) a catch for attachment to the vehicle door frame,","1","1","2","2","2",2
"2686","4289342-0001","4289342","(b) a pivoted locking lever for mounting on the door of said vehicle, said locking lever being movable between an engagement position and a disengaged position,","1","1","3","2","2",2
"2687","4289342-0001","4289342","(c) two teeth on said locking lever provided one behind the other in the direction of relative movement between said catch and locking lever, said teeth being shaped to cooperate with said catch,","1","1","4","2","2",2
"2688","4289342-0001","4289342","(d) a spring urging said locking lever into a locking position,","1","1","5","2","2",2
"2689","4289342-0001","4289342","(e) a shaft which when the lock is mounted on the vehicle passes through the vehicle door wall,","1","1","6","2","2",2
"2690","4289342-0001","4289342","(f) door lock operating means,","1","1","7","2","2",2
"2691","4289342-0001","4289342","(g) transmission levers between said door lock operating means and said shaft,","1","1","8","2","2",2
"2692","4289342-0001","4289342","(h) a driving member secured to said shaft, which upon actuation effects a pivotal movement of said locking lever into an unlocked position against the action of the spring, whereby relative movement between the catch and the locking lever to the disengaged position can take place, and","1","1","9","2","2",2
"2693","4289342-0001","4289342","(i) a spring which urges the driving member into a position in which the driving member is in a rest position in which the locking lever is not operated.","1","1","10","2","2",2
"2827","4308720-0001","4308720","1. a linear engine pump, comprising pump means for pumping fluid, power engine means for producing output work to operate said pump means during a power stroke, and supplemental linear engine means for producing output work to operate said power engine means during a compression stroke of the latter, said power engine means comprising an engine cylinder, a pair of piston means movable in opposite directions in response to internal combustion for producing output work during a power stroke, work transfer means for transferring some of the work delivered to one of said piston means to the other of said piston means to move said other piston means in said cylinder in the opposite direction of movement of said one piston means, means for coupling output work directly only from said other piston means to said pump means for pumping fluid using the combined output work of said piston means transmitted to said pump means only through said other piston means, and means for coupling the remaining output work of said one piston means directly from said one piston means to said supplemental linear engine means during the power stroke of said power engine means and the compression stroke of said supplemental linear engine means, and for coupling output work from said supplemental linear engine means to said one piston means during the power stroke of said supplemental linear engine means.","1","0","1","1","2",2
"3165","4348384-0010","4348384","10. a pharmaceutical composition for oral administration in the form encapsulated in intestine capsules, which comprises effective amounts of coagulation factor viii or ix and aprotinin which are incorporated in liposomes formed from a mixture of a phospholipid and phosphatidic acid.","10","0","10","1","2",2
"3304","4367219-0001","4367219","1. a water-containing dentifrice consisting essentially of strontium edetate in an amount of about 1.0 wt. percent to about 25 wt. percent, an alkali metal salt of ricinoleic acid in an amount of about 0.1 wt. percent to about 10 wt. percent and a source of fluoride ion providing a fluoride concentration in the dentifrice from about 0.02 wt. percent to about 2.0 wt. percent.","1","0","1","1","2",2
"3604","4402179-0001","4402179","1. a yarn false twisting apparatus comprising","1","0","1","1","2",2
"3605","4402179-0001","4402179","a frame,","1","1","2","2","2",2
"3606","4402179-0001","4402179","a pair of twist imparting members, each having a generally flat yarn engaging friction surface, and with at least one of the members being readily flexible in a direction perpendicular to its friction surface,","1","1","3","2","2",2
"3607","4402179-0001","4402179","means mounting said members to said frame for rotational movement wherein portions of the respective yarn engaging friction surfaces are disposed in opposing relationship and define a twisting zone therebetween,","1","1","4","2","2",2
"3608","4402179-0001","4402179","drive means for operatively rotating each of said members, and such that a yarn may be advanced along a path of travel through said twisting zone while having twist imparted thereto,","1","1","5","2","2",2
"3609","4402179-0001","4402179","biasing means operatively mounted adjacent at least said one flexible twist imparting member for biasing said one member toward the other member at said twisting zone, said biasing means comprising a cylinder mounted on the side of said one member opposite its yarn engaging friction surface and aligned with said twisting zone, a piston slideably mounted in said cylinder and having a face at one end and a free opposite end which is positioned to directly overlie said twisting zone, and fluid supply means including a branch line leading into said cylinder for conveying a fluid under pressure into said cylinder to act against the face of said piston to bias the free end thereof into operative contact with the adjacent surface of said one flexible member and thereby bias the same toward said other member at said twisting zone and nip the yarn advancing therethrough, and","1","1","6","2","2",2
"3610","4402179-0001","4402179","control means operatively associated with said biasing means for selectively substantially reducing the pressure of said fluid supply means acting upon said piston face, to thereby facilitate the thread-up of said apparatus by limiting the nipping force applied to the yarn, said control means including a relief line connected to said branch line, and a valve positioned in said relief line, whereby opening the valve in said relief line acts to at least substantially reduce the pressure acting upon the face of said piston.","1","1","7","2","2",2
"3928","4450447-0003","4450447","3. a synthetic aperture radar target simulator for altering the frequency of an input rf signal by an amount related to range curvature information and doppler frequency information associated with a simulated target, said simulator comprising:","3","0","16","1","2",2
"3929","4450447-0003","4450447","means for mixing an input rf signal and a local oscillator signal to generate a first baseband signal having a lower frequency than that of said input rf signal,","3","16","17","2","2",2
"3930","4450447-0003","4450447","means for converting said first baseband signal to a plurality of digital words each of which is related to an instantaneous amplitude of said first baseband signal;","3","16","18","2","2",2
"3931","4450447-0003","4450447","a first-in first-out memory means;","3","16","19","2","2",2
"3932","4450447-0003","4450447","means for generating first clock signals having a frequency related to the frequency of said local oscillator signals;","3","16","20","2","2",2
"3933","4450447-0003","4450447","means for providing said first clock signals to said memory means, thereby causing said memory means to store one of said plurality of digital words in response to one of said first clock signals;","3","16","21","2","2",2
"3934","4450447-0003","4450447","means for generating a synthesized signal having a frequency related to said local oscillator frequency, range curvature information associated with said simulated target, and doppler frequency information associated with said simulated target;","3","16","22","2","2",2
"3935","4450447-0003","4450447","means for generating a plurality of second clock signals having a frequency related to said synthesized signal;","3","16","23","2","2",2
"3936","4450447-0003","4450447","means for providing said second clock signals to said memory means for accessing one of said stored digital words, each of said digital words being accessed in the order in which it was stored in said memory means;","3","16","24","2","2",2
"3937","4450447-0003","4450447","means for converting said accessed digital words into an analog signal defining a second baseband signal; and","3","16","25","2","2",2
"3938","4450447-0003","4450447","means for mixing said second baseband signal and said synthesized signal to form an rf output signal having a frequency related to range curvature information and doppler frequency information associated with said simulated target.","3","16","26","2","2",2
"4435","4535311-0001","4535311","1. an electromagnetic relay comprising:","1","0","1","1","2",2
"4436","4535311-0001","4535311","a pair of first and second insulative supports in spaced apart parallel relationship;","1","1","2","2","2",2
"4437","4535311-0001","4535311","a first stationary member of conductive material having a first, elongated portion extending between said first and second supports and a second portion extending in a direction normal to said first portion, said second portion having a first stationary contact element therein and a heat radiating surface for radiating a substantial amount of heat generated in said first stationary contact element in response to an arc on the surface of said first stationary contact element so that heat conducted to said supports is insufficient to cause them to fuse or vaporize;","1","1","3","2","2",2
"4438","4535311-0001","4535311","a second stationary member of conductive material having a third, elongated portion extending between said first and second supports and a fourth, elongated portion extending in a direction normal to said third portion in spaced relationship to said second portion, said fourth portion having a second stationary contact element therein in opposed relationship with said first stationary contact element;","1","1","4","2","2",2
"4439","4535311-0001","4535311","a movable member of conductive material having an elongated portion movable between said first and second stationary contact elements and having a pair of contact elements one on each side thereof for selectively making contact with one of said first and second stationary contact elements; and","1","1","5","2","2",2
"4440","4535311-0001","4535311","means secured between said first and second supports for generating magnetic flux in response to a current supplied thereto for moving the elongated portion of said movable member into contact with one of said first and second stationary contact elements.","1","1","6","2","2",2
"4598","4550864-0001","4550864","1. in a dispensing container having a body portion defining a cavity for containing a liquid, pump means carried by said body portion, said pump means having an outlet port in communication with said cavity for generating a pressure upon the liquid therein upon operation of said pump means, dispensing means for delivering liquid from said cavity upon actuation of said pump means, valve means movable between a closed position, an intermediate position and an opened position, a releasable stop means for releasably and positively restraining said valve means in its intermediate position, said valve means being effective to close communication of said outlet port with said cavity and prevent liquid passage through said dispensing means when said valve means is in its closed position, and venting means for venting the area over the liquid in said container to the atmosphere at a restricted rate when said valve means is in its intermediate position for precluding accidental leakage of fluid due to pressure build-up when said valve means is moved to its open position.","1","0","1","1","2",2
"4777","4571544-0001","4571544","1. a method of continuously examining the semiconductive shield of an electrical power cable in a uniform manner, the method comprising the steps of:","1","0","1","1","1",1
"4778","4571544-0001","4571544","providing a cavity structure capable of supporting a relatively high order coaxial mode of microwave energy at a relatively high quality factor when the cavity is dielectrically unloaded,","1","1","2","2","1",1
"4779","4571544-0001","4571544","providing a source of microwave energy,","1","1","3","2","1",1
"4780","4571544-0001","4571544","directing incident microwave energy to the cavity structure in a manner that excites the high order coaxial mode of the energy in the structure,","1","1","4","2","1",1
"4781","4571544-0001","4571544","continuously directing the cable structure having at least one semiconductive shield through the cavity structure, the semiconductive material of the shield dielectrically loading the cavity structure and thereby changing the quality factor thereof such that microwave energy is reflected from the cavity,","1","1","5","2","1",1
"4782","4571544-0001","4571544","continuously monitoring the degree of dielectric loading in the cavity structure and thus the quality factor thereof by measuring the ratio of reflected and incident energy from the cavity, and","1","1","6","2","1",1
"4783","4571544-0001","4571544","noting any changes in said ratio.","1","1","7","2","1",1
"5281","4626510-0001","4626510","1. a hybrid plasmid that is useful for synthesizing heterologous proteins in b. subtilis, said hybrid plasmid being formed by coupling the plasmid pub110 with the small psti fragment of the plasmid psm4, psm5 or psm6 at their xbai sites, said hybrid plasmid having a marker of resistance to kanamycin and a ecori site located from 0 to 4 bases from the last g of the ribosome recognition sequence gaggg, said hybrid plasmid being capable of producing the heterologous proteins coded by cloned dna wherein said production is induced by subinhibiting doses of erythromycin.","1","0","1","1","2",2
"5359","4636295-0001","4636295","1. a method for the recovery of lithium from brines containing monovalent cations including lithium, multivalent cations including magnesium and monovalent and multivalent anions which method comprises the steps of subjecting brine to electrodialysis; feeding brine to diluate cells of an electrodialysis unit comprising a multiplicity of alternating monopolar cationic permselective membranes and monopolar anionic permselective membranes, said membranes defining alternating diluate and concentrate cells, an anode compartment and a cathode compartment, an anode positioned in the anode compartment and a cathode positioned in the cathode compartment; applying an electrical current between the anode and the cathode at a value such that the value of the corresponding current density is in the range of about 10 to 500 a/m.sup.2 ; maintaining the temperature in the unit in the range of about 0.degree. to 60.degree. c.; maintaining the ph of the brine fed to the electrodialysis at a value of less than about 7; passing flows of solutions through the diluate and concentrate cells at a linear velocity sufficient to maintain turbulent flow in said cells; removing a lithium-depleted diluate from the diluate cells; withdrawing a lithium-enriched concentrate from the concentrate cells, said concentrate containing magnesium and lithium in a weight ratio of about 5:1 or less; and recovering lithium from withdrawn concentrate.","1","0","1","1","1",1
"5488","4652752-0001","4652752","1. a vacuum gauge comprising:","1","0","1","1","2",2
"5489","4652752-0001","4652752","a mass spectrometer for measuring an ion current value of respective gas components;","1","1","2","2","2",2
"5490","4652752-0001","4652752","a total pressure gauge for measuring an apparent total pressure value of the gas components;","1","1","3","2","2",2
"5491","4652752-0001","4652752","a calculation unit for calculating a predetermined equation so as to obtain concentration of the respective gas components and also measurement sensitivity of the respective gas components, whereby the apparent total pressure value is corrected, based upon the measurement sensitivity of the respective gas components, to derive a real total pressure value of the measured gas components.","1","1","4","2","2",2
"5591","4662440-0001","4662440","1. a process for establishing well-to-well flow communication between a plurality of wells penetrating a subsurface formation comprising:","1","0","1","1","1",1
"5592","4662440-0001","4662440","(a) initiating a fracture from a first well of said plurality of wells;","1","1","2","2","1",1
"5593","4662440-0001","4662440","(b) propagating said fracture from said first well to a second well of said plurality of wells to establish flow communication between said first and second wells;","1","1","3","2","1",1
"5594","4662440-0001","4662440","(c) when said fracture has reached said second well, injecting fracturing fluid at fracturing rates into said second well and thereby further propagating said fracture to a third well of said plurality of wells;","1","1","4","2","1",1
"5595","4662440-0001","4662440","(d) repeating step (c) as necessary with regard to other wells of said plurality of wells as said fracture reaches said other wells, by injecting fracturing fluid at fracturing rates into said other wells and thereby further propagating said fracture until said fracture intersects each well of said plurality of wells; and","1","1","5","2","1",1
"5596","4662440-0001","4662440","(e) thereby linking said plurality of wells through a common fracture network.","1","1","6","2","1",1
"6437","4760759-0001","4760759","1. a geared ratio reducer coupling for receiving an input force and rotational speed from an external power source and by an internal gear arrangement reduce an input shaft speed to a determined output speed, this ratio coupling including:","1","0","1","1","2",2
"6438","4760759-0001","4760759","(a) an input shaft and means to receive and rotate said shaft in response to input power;","1","1","2","2","2",2
"6439","4760759-0001","4760759","(b) an eccentric means driven by the input shaft and rotated at the same speed as and with the input shaft;","1","1","3","2","2",2
"6440","4760759-0001","4760759","(c) a floating pinion spool adapted to be orbited in a circular path and eccentrically moved as the eccentric means is rotated, said pinion spool having first and second ring-like gear row portions of outwardly, like-shaped extending gear teeth, with each of the first and second gear portions having the same number of teeth, and with this pinion also having at least one spaced relief between the first and second rows providing a fluid pathway and accumulating means, said pinion also having a third extending row of gear teeth with a different number of teeth than said first and second rows, the first, second and third rows of gear teeth on this pinion spool having a common center line which is a selected distance offset from the center line of the input shaft;","1","1","4","2","2",2
"6441","4760759-0001","4760759","(d) an outer fixed housing which includes a housing cap adapted to receive and retain said input shaft; a central portion having two rows of inwardly-extending gear teeth having a pitch and shape to mate with and engage the first and second rows of gear teeth on the pinion spool, these two rows having a like number of teeth that is greater than the number of teeth as provided on the pinion spool, said outer housing having means to rotatably retain an output shaft on the same center line as the input shaft, said housing having at least in part external fins adapted to dissipate heat generated by the operation of said geared ratio reducer coupling;","1","1","5","2","2",2
"6442","4760759-0001","4760759","(e) means for arraying said output shaft as freely turning and independent of the outer fixed housing by which it is carried, this output shaft carried by at least two anti-friction bearing assemblies mounted in said fixed housing;","1","1","6","2","2",2
"6443","4760759-0001","4760759","(f) means for making the assembled outer housing substantially oil-tight and within said housing providing a determined quantity of gear lubricating fluid, and during actuation of said gear ratio reducer coupling causing said lubrication to flow inwardly and outwardly through apertures provided in the floating spool, with one array of apertures extending through and in communication with the spaced relief in the floating pinion spool, and","1","1","7","2","2",2
"6444","4760759-0001","4760759","(g) a row of inwardly-extending gear teeth carried on the output shaft, the row of teeth having a configuration to mate with the third row of teeth on the floating pinion, the number of teeth on said output shaft greater or less than the number of teeth in the two rows in said fixed housing, which housing in an assembled condition is maintained by a plurality of screws an the like.","1","1","8","2","2",2
"7358","4856570-0001","4856570","1. a multi-configurational handbag comprising:","1","0","1","1","2",0
"7359","4856570-0001","4856570","a main storage area having at least one upper edge, at least one lower edge and first and second flexible lateral edges extending between said upper and lower edges and joining therewith to form at least two upper corners and at least two lower corners;","1","1","2","2","2",0
